ID,SMILES
1,[*]c1ccc(Oc2ccc(-c3nc4ccc(Oc5ccc(N6C(=O)c7ccc(C(c8ccc9c(c8)C(=O)N(c8ccc(Oc%10ccc%11nc([*])c(-c%12ccccc%12)nc%11c%10)cc8)C9=O)(C(F)(F)F)C(F)(F)F)cc7C6=O)cc5)cc4nc3-c3ccccc3)cc2)cc1
2,[*]CCCCCCNC(=O)C1CC1C(=O)N[*]
3,[*]Oc1cccc(OC(=O)c2cc(C(C)C)c(OC(=O)c3ccc(C(=O)Oc4c(C(C)C)cc(C([*])=O)cc4C(C)C)cc3)c(C(C)C)c2)c1
4,[*]CC([*])(C)C(=O)OCCOC(=O)C1CCC(=O)N1OC(C)=O
5,[*]c1cc(Br)c(-c2c(Br)cc(N3C(=O)c4ccc(-c5ccc6c(c5)C(=O)N([*])C6=O)cc4C3=O)cc2C(=O)OCCCCCCCCCCCCCC)c(C(=O)OCCCCCCCCCCCCCC)c1
6,[*]Oc1ccc(OC(=O)c2ccc(C([*])=O)cc2Oc2ccc(Cl)cc2)cc1
7,[*]CC([*])(C)C(=O)OCC1(CC)COC1
8,[*]Oc1ccc2cc(Oc3ccc4c(=O)n5c6cc(-c7ccc8c(c7)nc7c9ccc([*])c%10cccc(c(=O)n87)c%109)ccc6nc5c5cccc3c45)ccc2c1
9,[*]c1ccc(N=Cc2ccc(-c3ccc(C=Nc4ccc(-n5c(=O)c6ccc7c8c(Oc9ccc(C(C)(C)C)cc9)cc9c(=O)n([*])c(=O)c%10ccc(c%11c(Oc%12ccc(C(C)(C)C)cc%12)cc(c5=O)c6c7%11)c8c%109)cc4)s3)s2)cc1
10,[*]c1ccc(Oc2ccc(C(=O)c3cccc(C(=O)c4ccc(Oc5ccc(-c6nc7ccccc7n6-c6ccc(-n7c([*])nc8ccccc87)cc6)cc5)cc4)c3)cc2)cc1
11,[*]N=C1c2ccccc2C(=Nc2ccc(Cc3ccc([*])cc3)cc2)c2ccc(C(C)(C)C)cc21
12,[*]Nc1cccc(NC(=O)c2cc(C([*])=O)c(C(=O)O)cc2C(=O)O)c1
14,[*]CCc1ccc(CCNC(=O)CCCCCCCCCCCCCCCC(=O)N[*])cc1
15,[*]CCCCCC([*])CCCCCCCCCC
16,[*]CC(=O)Nc1ccc(NC(=O)COc2ccc3ccccc3c2Sc2c(O[*])ccc3ccccc23)cc1
17,[*]CC([*])c1ccc(COCCCCO)cc1
18,[*]Nc1cccc(C=Cc2ccc(NC(=O)c3ccc(C([*])=O)cc3)cc2)c1
19,[*]CCNC(=O)CCCCCCCCC(=O)NCCNC(=O)C(=O)N[*]
20,[*]CC(CC([*])(C#N)C(=O)OC)c1ccccc1
22,[*]C(=O)Oc1ccc2ccc(OC(=O)c3ccc4c(c3)C(=O)N(c3ccc(Oc5ccc(N6C(=O)c7ccc([*])cc7C6=O)cc5)cc3)C4=O)cc2c1
23,[*]Nc1cc(NC(=O)c2ccc(C([*])=O)cc2)cc(C(=O)OCCOc2ccc(C=CC(=O)c3ccccc3)cc2)c1
24,[*]c1cc(-c2ccccc2)c([*])[nH]1
25,[*]C(=O)N1CC(=O)N(C(=O)c2ccc3c(c2)C(=O)N(c2cccc(P(=O)(c4ccccc4)c4cccc(N5C(=O)c6ccc([*])cc6C5=O)c4)c2)C3=O)C1=O
26,C([*])C([*])(C)C(=O)OC(F)(F)(F)
27,[*]c1ccc2c(c1)c1cc([*])ccc1n2CCC(=O)OCC
28,[*]Oc1ccc(C(=O)OCCOCCOC(=O)c2ccc(OC([*])=O)cc2)cc1
29,[*]CCCCCCNC(=O)c1ccc(C(C)c2ccc(C(=O)N[*])cc2)cc1
30,[*]c1ccc2c(c1)C(=O)N(c1ccc(Oc3ccc4ccc(Oc5ccc(N6C(=O)c7ccc(C([*])(C(F)(F)F)C(F)(F)F)cc7C6=O)cc5)cc4c3)cc1)C2=O
31,[*]Nc1ccc(NC(=O)c2cc(C([*])=O)c(C(=O)OCC)cc2C(=O)OCC)cc1
32,[*]c1ccc(-c2ccc(-[n+]3c(-c4ccccc4)cc(-c4ccc(-c5cc(-c6ccccc6)[n+]([*])c(-c6ccccc6)c5)cc4)cc3-c3ccccc3)cc2C(F)(F)F)c(C(F)(F)F)c1
33,[*]C(=O)c1ccc2c(c1)C(=O)N(c1ccc(N(c3ccccc3)c3ccc(N4C(=O)c5ccc([*])cc5C4=O)cc3)cc1)C2=O
34,[*]C=CC(C(=O)OC(C)C)C([*])C(=O)OC(C)C
35,[*]C2CC(C=C[*])C3C(=O)N(c1c(F)c(F)c(F)c(F)c1F)C(=O)C23
36,[*]CC(C(=O)OCCC)(C(=O)OCCC)[*]
37,[*]CCCCCCCCC(=O)NCCCCCCNC(=O)CCCCO[*]
38,[*]c1ccc(OC(=O)c2ccc(C(=O)Oc3ccc(C4([*])OC(=O)c5ccccc54)cc3C)cc2)c(C)c1
39,[*]CCN([*])C(=O)CCCCCCCC
40,[*]CC(c1ccccc1)C1C(=O)N(CCCN(CC)c2ccc(N=Nc3ccc([N+](=O)[O-])cc3)c(C)c2)C(=O)C1[*]
41,[*]CCCC(=O)NCCCCCCNC(=O)CCCOC(=O)c1ccc(C(=O)O[*])cc1
42,[*]Cc1cccc(CN(C)C(=O)CCCCC(=O)N([*])C)c1
43,[*]c1cc(CCCCCCCCCC)c([*])[nH]1
44,[*]CCCCCCOC(=O)CCCCCC(=O)O[*]
45,[*]CC(C)(C)COC(=O)CCCCCCCCC(=O)O[*]
46,[*]CC([*])c1ccccc1
47,[*]CC(=O)NCCCCCCNC(=O)COC(=O)CCCCCCCCC(=O)O[*]
48,[*]CCC(C)CCC(=O)N[*]
49,[*]c1cccc(C(=O)c2c(C)cc(C)c(N3C(=O)c4ccc(-c5ccc6c(c5)C(=O)N([*])C6=O)cc4C3=O)c2C)c1
50,[*]C(=O)Nc1ccc(Oc2ccccc2-c2ccccc2Oc2ccc(NC(=O)c3ccc4c(c3)C(=O)N(c3ccc(Oc5ccc(-c6ccc(Oc7ccc(N8C(=O)c9ccc([*])cc9C8=O)cc7)cc6)cc5)cc3)C4=O)cc2)cc1
51,[*]c8ccc(Oc7ccc6cc(Oc5ccc(n4c(=O)c3ccc(S(=O)(=O)c2ccc1c(=O)n([*])c(=O)c1c2)cc3c4=O)cc5)ccc6c7)cc8
52,[*]Oc1ccc(C=Nc2ccc(N=Cc3ccc(OC(=O)CCCCC([*])=O)cc3)cc2)cc1
53,[*]COc1ccc(C=C2CCC(=Cc3ccc(OCc4nnc(-c5ccc(-c6ccc(-c7nnc([*])o7)cc6)cc5)o4)cc3)C2=O)cc1
54,[*]Oc1cc(C)c([*])c(C)c1Br
55,[*]CC([*])(C)C(=O)OCCn1c2ccccc2c2cc(N=Nc3ccc([N+](=O)[O-])cc3)ccc21
56,[*]CCCCCCCCOC(=O)Nc1ccc(C)c(NC(=O)O[*])c1
57,[*]Nc1c(Br)cc([*])cc1Br
60,[*]CCCCCC(=O)NCCCCCCNC(=O)CCCCCOC(=O)CCCCC(=O)O[*]
61,[*]c1ccc2c(c1)C(=O)N(c1cccc(C(=O)Nc3ccc(NC(=O)c4cccc(N5C(=O)c6ccc(C([*])(C(F)(F)F)C(F)(F)F)cc6C5=O)c4)cc3)c1)C2=O
62,C25=C(C4C1=C(C=CC=C1)C2C3=CC=CC=C34)C(O[*])=CC=C5O[*]
63,[*]c1ccc(Oc2ccccc2Oc2ccc(N3C(=O)c4ccc(-c5ccc6c(c5)C(=O)N([*])C6=O)cc4C3=O)cc2C(F)(F)F)c(C(F)(F)F)c1
64,[*]CCCCCCNC(=O)CCc1ccc(CCC(=O)N[*])cc1
65,[*]Oc1ccc(Oc2ccc(C(=O)c3ccc([*])cc3)cc2)cc1CBr
66,[*]CC([*])OCC(F)(F)F
67,[*]Cc1ccc(CSC(=O)Nc2ccc(Cc3ccc(NC(=O)S[*])cc3)cc2)cc1
68,[*]C=Nc1cc(NC(=O)NCCNCCNO[*])ccc1C
69,[*]CC([*])CCCC(C)(C)C
70,[*]CCc1ccc(C(=O)O[*])cc1
71,[*]CC([*])(C)C(=O)OCCOC(=O)C1CCC(=O)N1OC(=O)C(F)(F)F
72,[*]CC(C)(C)C1C(=O)N(CCCC)C(=O)C1[*]
73,[*]c1ccc2c(c1)C(=O)N(c1ccc(Oc3ccc(-c4ccc(Oc5ccc(N6C(=O)c7ccc(C([*])(C(F)(F)F)C(F)(F)F)cc7C6=O)cc5)cc4)cc3)cc1)C2=O
74,[*]c1ccc(OCCCCCCCCCCCCOc2ccc(N3C(=O)c4ccc(-c5cccc6c5C(=O)N([*])C6=O)cc4C3=O)cc2)cc1
75,[*]CCCCCCOC(=O)c1ccc(C(=O)NCCCCCCCCCCCCNC(=O)c2ccc(C(=O)O[*])cc2)cc1
76,[*]N=P(Cl)(Cl)N=P(Cl)(Cl)N=S([*])(=O)F
77,[*]CCOC(=O)CCCCCCCCC(=O)OCCOC(=O)c1ccc(C(=O)O[*])cc1
78,N(C(NC1=CC=C([*])C=C1)=O)C3=CC=C(OC2=CC(O[*])=CC=C2)C=C3
79,[*]Cc1ccc(COC(=O)c2cc(C)c(C(=O)O[*])cc2C)cc1
80,[*]CCN([*])C(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
81,[*]CC([*])(C)C(=O)OCC
82,[*]CCOC(=O)c1ccc2ccc(C(=O)O[*])cc2c1
83,[*]CCCCCCCCCNC(=O)NCCCCCCCNC(=O)N[*]
84,[*]CC([*])c1c(F)c(F)c(OC)c(F)c1F
86,[*]c1cccc(Oc2cccc(Oc3cccc(-n4c(=O)c5cc6c(=O)n([*])c(=O)c6cc5c4=O)c3)c2)c1
87,[*]CC(C)(C)CSC(=O)Nc1ccc(Cc2ccc(NC(=O)S[*])cc2)cc1
88,[*]CC([*])(C)C(=O)OCC(=O)c1ccccc1
89,[*]Oc1c(C)cc(C(C)(C)c2cc(C)c(OC(=O)CCCCC([*])=O)c(C)c2)cc1C
90,[*]C(=O)Nc1ccc(Oc2cccc3c(NC(=O)c4ccc5c(c4)C(=O)N(c4ccc(Oc6cccc7c(N8C(=O)c9ccc([*])cc9C8=O)cccc67)cc4)C5=O)cccc23)cc1
91,[*]CC(C)(C)COC(=O)CCCCC(=O)O[*]
92,[*]=Cc1ccc(C=Cc2ccc(N(c3ccccc3)c3ccc(N(c4ccccc4)c4ccc(C=Cc5ccc(C=C6C(=O)N(c7cccc(N8C(=O)C(=[*])C(C)=C(C#N)C8=O)c7)C(=O)C(C#N)=C6C)s5)cc4)cc3)cc2)s1
93,[*]CCOc1ccc(C(=O)OC(=O)c2cccc(C(=O)OC(=O)c3ccc(O[*])c(OC)c3)c2)cc1OC
94,[*]COC(=O)c1ccc(C(C#N)=C(c2ccc(OC)cc2)N2CCCC([*])C2)cc1
95,[*]CC([*])c1ccc(OC)cc1Cl
96,[*]Oc1ccc(C2(c3ccc(OC([*])=S)cc3)CCCC2)cc1
97,[*]C(=O)c1ccc2c(c1)C(=O)N(c1ccc(-c3cc(C(C)(C)C)c(Oc4ccc(N5C(=O)c6ccc([*])cc6C5=O)cc4C(F)(F)F)c(C(C)(C)C)c3)cc1)C2=O
98,[*]Oc1ccc(Oc2ccc(C(=O)c3ccc([*])cc3)cc2)cc1-c1ccc(Oc2ccccc2)cc1
99,[*]CCN(C)C(=O)c1ccc(C(=O)N([*])C)cc1
100,[*]c1cccc(-c2cccc(C(F)(F)C(F)(F)C([*])(F)F)c2)c1
