ID,Group,SMILES,SMILES_solvent,Activities,log10D,Ratio
1,0,CC(=CC[*])C[*],Brc1ccccc1,1,-6.223298816,1.21524296
2,4,CC(=CC[*])C[*],CC(=O)OCCC(C)C,1,-6.565431096,0.4155259
3,7,CC(=CC[*])C[*],CC(C)CC(C)(C)C,1,-6.387216143,0.382727153
4,20,CC(=CC[*])C[*],CCCCCCCCCCCC,1,-6.68613278,0.277789282
5,21,CC(=CC[*])C[*],CCCCCCCCCCCCCC,1,-6.835647144,0.230855291
6,22,CC(=CC[*])C[*],CCCCCCCCCCCCCCCC,1,-7.075720714,0.191823104
7,25,CC(=CC[*])C[*],CCCCOC(C)=O,1,-6.37675071,0.45367254
8,27,CC(=CC[*])C[*],CCCOC(C)=O,1,-5.969394431,0.41688828
9,29,CC(=CC[*])C[*],CCOC(=O)CC(C)=O,1,-6.946921557,0.02656641
10,31,CC(=CC[*])C[*],CCOC(C)=O,1,-6.154626367,0.31470978
11,34,CC(=CC[*])C[*],COC(=O)CC(C)=O,1,-6.962573502,0.01158023
12,35,CC(=CC[*])C[*],COC(=O)c1ccccc1O,1,-7.086186148,0.36171189
13,36,CC(=CC[*])C[*],COC(C)=O,1,-6.164943898,0.15258656
14,39,CC(=CC[*])C[*],Cc1ccccc1,1,-5.71965701,0.10967159
15,48,CC(=CC[*])C[*],Clc1ccccc1,1,-6.003050752,1.275868869
16,49,CC(=CC[*])C[*],Fc1ccccc1,1,-5.970616222,1.123963499
17,50,CC(=CC[*])C[*],Nc1ccccc1,1,-6.982966661,0.05313282
18,53,CC(=CC[*])C[*],O=[N+]([O-])c1ccccc1,1,-6.863279433,0.35353761
19,111,CC(C)(C1=CC=C(OC2=CC=C3C(=O)N([*])C(=O)C3=C2)C=C1)C1=CC=C(OC2=CC=C3C(=O)N(C4=CC=CC([*])=C4)C(=O)C3=C2)C=C1,CC(C)=O,1,-10.61978876,2.061064292
20,215,CC1=CC([*])=CC(C)=C1O[*],CCCCCCCCO,1,-7.301029996,0.065505037
21,216,CC1=CC([*])=CC(C)=C1O[*],CCCCO,1,-7.045757491,0.163724379
22,217,CC1=CC([*])=CC(C)=C1O[*],CCCO,1,-6.769551079,0.243920014
23,218,CC1=CC([*])=CC(C)=C1O[*],CCO,1,-6.318758763,0.419889538
24,226,CC1=CC([*])=CC(C)=C1O[*],CO,1,-7.113106778,0.6487554
25,227,CC1=CC([*])=CC(C)=C1O[*],COC(C)(C)C,1,-7.193820026,0.077692649
26,435,ClC([*])=CCC[*],Brc1ccccc1,1,-6.349692477,1.00755106
27,437,ClC([*])=CCC[*],CC(=O)OCCC(C)C,1,-6.896196279,0.36919929
28,439,ClC([*])=CCC[*],CC(C)CC(C)(C)C,1,-7.48148606,0.073744865
29,447,ClC([*])=CCC[*],CCCCCCCCCCCC,1,-7.619788758,0.04692461
30,448,ClC([*])=CCC[*],CCCCCCCCCCCCCC,1,-7.721246399,0.034175282
31,449,ClC([*])=CCC[*],CCCCCCCCCCCCCCCC,1,-7.721246399,0.021691565
32,450,ClC([*])=CCC[*],CCCCOC(C)=O,1,-6.623423043,0.42586297
33,451,ClC([*])=CCC[*],CCCOC(C)=O,1,-6.53313238,0.442685
34,452,ClC([*])=CCC[*],CCOC(=O)CC(C)=O,1,-7.853871964,0.24701823
35,453,ClC([*])=CCC[*],CCOC(C)=O,1,-6.377785977,0.4072702
36,454,ClC([*])=CCC[*],COC(=O)c1ccccc1O,1,-7.30980392,0.583458831
37,455,ClC([*])=CCC[*],COC(C)=O,1,-6.385102784,0.26915248
38,460,ClC([*])=CCC[*],Clc1ccccc1,1,-6.1837587,1.00755106
39,461,ClC([*])=CCC[*],Fc1ccccc1,1,-6.189095719,0.855267419
40,462,ClC([*])=CCC[*],Nc1ccccc1,1,-7.27572413,0.3452943
41,464,ClC([*])=CCC[*],O=[N+]([O-])c1ccccc1,1,-6.88941029,0.68793249
42,465,ClC([*])C[*],C=CCl,1,-11.69897,0.3000048
43,467,ClC([*])C[*],CC(C)=O,1,-12.77728353,1.82934401
44,468,ClC([*])C[*],CC(Cl)(Cl)Cl,1,-8.173925197,0.313900525
45,471,ClC([*])C[*],CCCCCC,1,-14.50114303,0.004351288
46,478,ClC([*])C[*],CCO,1,-12.27654433,0.00135661
47,483,ClC([*])C[*],CO,1,-10.19859629,0.019506554
48,484,ClC([*])C[*],Cc1ccc(C)cc1,1,-8.48940535,0.247264318
49,486,ClC([*])C[*],Cc1ccccc1,1,-8.340972293,0.373067615
50,494,ClC([*])C[*],c1ccccc1,1,-8.395242493,0.400070414
51,588,O=C(C1=CC=C([*])C=C1)C1=CC=C(OC2=CC=C(O[*])C=C2)C=C1,CC(C)=O,1,-10.46852108,0.650267941
52,590,O=C(C1=CC=C([*])C=C1)C1=CC=C(OC2=CC=C(O[*])C=C2)C=C1,Cc1ccccc1,1,-12.08618615,0.772485381
53,591,O=C(C1=CC=C([*])C=C1)C1=CC=C(OC2=CC=C(O[*])C=C2)C=C1,ClC(Cl)Cl,1,-11.00656377,2.533764337
54,593,O=C(C1=CC=C([*])C=C1)C1=CC=C(OC2=CC=C(O[*])C=C2)C=C1,c1ccccc1,1,-12.45593196,1.133828696
55,601,O=C(NCCCCCCNC(=O)OCCOCC[*])O[*],C1CCCCC1,1,-6.230701446,1.047863509
56,602,O=C(NCCCCCCNC(=O)OCCOCC[*])O[*],CC#N,1,-5.819783414,3.261711423
57,604,O=C(NCCCCCCNC(=O)OCCOCC[*])O[*],CCCCCC,1,-5.639499891,0.369367841
58,607,O=C(NCCCCCCNC(=O)OCCOCC[*])O[*],CCO,1,-6.766833156,8.15429227
59,610,O=C(NCCCCCCNC(=O)OCCOCC[*])O[*],CO,1,-6.278981295,8.260343235
60,614,O=C(NCCCCCCNC(=O)OCCOCC[*])O[*],Cc1cc(C)cc(C)c1,1,-6.314794189,1.95845879
61,615,O=C(NCCCCCCNC(=O)OCCOCC[*])O[*],Cc1cccc(C)c1,1,-6.144958929,2.739521585
62,616,O=C(NCCCCCCNC(=O)OCCOCC[*])O[*],Cc1ccccc1,1,-5.991932827,3.849188712
63,617,O=C(NCCCCCCNC(=O)OCCOCC[*])O[*],Clc1ccccc1,1,-5.927755581,5.438307089
64,619,O=C(NCCCCCCNC(=O)OCCOCC[*])O[*],c1ccccc1,1,-5.888914794,5.20195557
65,806,O=C([*])NC1=CC=C(CC2=CC=C(NC(=O)OCCO[*])C=C2)C=C1,C1CCCCC1,1,-7.286062282,0.719950689
66,807,O=C([*])NC1=CC=C(CC2=CC=C(NC(=O)OCCO[*])C=C2)C=C1,CC#N,1,-6.517126416,1.399946408
67,808,O=C([*])NC1=CC=C(CC2=CC=C(NC(=O)OCCO[*])C=C2)C=C1,CCCCCC,1,-6.86468387,0.279055755
68,813,O=C([*])NC1=CC=C(CC2=CC=C(NC(=O)OCCO[*])C=C2)C=C1,CCOC(C)=O,1,-6.568636236,1.793626718
69,814,O=C([*])NC1=CC=C(CC2=CC=C(NC(=O)OCCO[*])C=C2)C=C1,CC[N+](=O)[O-],1,-6.653647026,1.926288463
70,816,O=C([*])NC1=CC=C(CC2=CC=C(NC(=O)OCCO[*])C=C2)C=C1,C[N+](=O)[O-],1,-6.677780705,1.545251474
71,824,O=C1C2=CC3=C(C=C2C(=O)N1C1=CC=C([*])C=C1)C(=O)N(C1=CC=CC(OC2=CC=C(C4=CC=C(O[*])C=C4)C=C2)=C1)C3=O,CC(C)=O,1,-10.42945706,2.369688361
72,825,O=C1C2=CC3=C(C=C2C(=O)N1C1=CC=C([*])C=C1)C(=O)N(C1=CC=CC(OC2=CC=C(C4=CC=C(O[*])C=C4)C=C2)=C1)C3=O,Cc1ccccc1,1,-13.537602,0.066454749
73,826,O=C1C2=CC3=C(C=C2C(=O)N1C1=CC=C([*])C=C1)C(=O)N(C1=CC=CC(OC2=CC=C(C4=CC=C(O[*])C=C4)C=C2)=C1)C3=O,ClC(Cl)C(Cl)Cl,1,-13.4436975,0.046570702
74,827,O=C1C2=CC3=C(C=C2C(=O)N1C1=CC=C([*])C=C1)C(=O)N(C1=CC=CC(OC2=CC=C(C4=CC=C(O[*])C=C4)C=C2)=C1)C3=O,ClC(Cl)Cl,1,-9.823908741,6.917314466
75,828,O=C1C2=CC3=C(C=C2C(=O)N1C1=CC=C([*])C=C1)C(=O)N(C1=CC=CC(OC2=CC=C(C4=CC=C(O[*])C=C4)C=C2)=C1)C3=O,ClCCl,1,-10.25103714,4.890016342
76,1067,[*]C(C)CC(F)(F)C([*])(F)F,CC(=O)OCC(C)C,1,-6.747146969,1.505415691
77,1068,[*]C(C)CC(F)(F)C([*])(F)F,CC(=O)OCCC(C)C,1,-6.701146924,1.432124991
78,1069,[*]C(C)CC(F)(F)C([*])(F)F,CCCCCOC(C)=O,1,-7.060480747,0.265398191
79,1070,[*]C(C)CC(F)(F)C([*])(F)F,CCCCOC(C)=O,1,-6.681936665,1.803876199
80,1071,[*]C(C)CC(F)(F)C([*])(F)F,CCCOC(C)=O,1,-6.498940738,2.844014821
81,1074,[*]C(C)CC(F)(F)C([*])(F)F,CCOC(C)=O,1,-6.641877261,2.905932729
82,1077,[*]C(C)CC(F)(F)C([*])(F)F,COC(C)=O,1,-6.217527376,2.12088769
83,1177,[*]C1=CC(C2=NC3=CC=C(C4=CC=C5N=C([*])[NH]C5=C4)C=C3[NH]2)=CC=C1,CO,1,-5.201349355,3.844676278
84,1286,[*]CC([*])C,C=C(C)C1CC=C(C)CC1,1,-8.320572103,0.044124864
85,1293,[*]CC([*])C,CCCCCC,1,-6.488229739,0.886884663
86,1295,[*]CC([*])C,CCCCCCC,1,-6.638272164,0.780478462
87,1296,[*]CC([*])C,CCCCCCCCC,1,-6.899629455,0.586737812
88,1298,[*]CC([*])C,CCCCCCCCCCCC,1,-7.30980392,0.393683282
89,1302,[*]CC([*])C,CCCCCCCCCCCCCCCC,1,-8.190453335,0.268548176
90,1316,[*]CC([*])C,Cc1ccc(C)cc1,1,-6.728158393,0.130016654
91,1321,[*]CC([*])C,Cc1ccccc1,1,-8.156310743,0.154077542
92,1342,[*]CC([*])C,c1ccccc1,1,-6.802180083,0.12638846
93,1537,[*]CC[*],C1CCCCC1,1,-8.018769224,0.098469007
94,1591,[*]CC[*],CCCCCCCO,1,-8.259637311,0.025538549
95,1592,[*]CC[*],CCc1ccccc1,1,-8.149110595,0.042939661
96,1593,[*]CC[*],CO,1,-7.318758763,0.009543964
97,1655,[*]CC[*],Cc1ccccc1,1,-7.781616286,0.064730632
98,1669,[*]CC[*],Clc1ccccc1,1,-7.418819626,0.049722575
99,1672,[*]CC[*],c1ccccc1,1,-7.654003626,0.086054774
